route_id,direction_id,stop_id_used,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
9,0,5275F,21045.0::31639.0,51679.0::53119.0,53839.0::55279.0,55999.0::58879.0,59599.0::63199.0,65479.0::69199.0
9,1,5278F,26923.0::38571.0,52963.0::55843.0,56563.0::60163.0,60883.0::64483.0,66763.0::70483.0,77143.0::77143.0
25,1,6204,21759.0::29952.0,30372.0::38712.0,39192.0::48312.0,48792.0::57912.0,58272.0::67752.0,67992.0::88359.0
62,0,2974,22653.0::32878.0,33298.0::42598.0,43198.0::52798.0,53398.0::60940.0,61300.0::68278.0,68758.0::75238.0
62,1,2917,21000.0::30420.0,30780.0::39780.0,40380.0::49980.0,50580.0::58140.0,58500.0::64980.0,65520.0::72540.0
31,1,2465,21274.0::22834.0,23194.0::25217.0,25997.0::29083.0,29803.0::32683.0,53203.0::58963.0,59683.0::65443.0
31,0,1801,27600.0::33360.0,54660.0::58260.0,58980.0::61860.0,62580.0::64020.0,64740.0::66180.0,66900.0::68340.0
33,1,1117,24360.0::33900.0,34500.0::44100.0,44700.0::52980.0,53580.0::60960.0,61380.0::69180.0,73380.0::87720.0
33,0,2782,24300.0::34680.0,35280.0::44940.0,45540.0::53700.0,54060.0::61380.0,61740.0::69060.0,73620.0::85680.0
7,1,6356F,21076.0::28949.0,29346.0::37049.0,37469.0::46109.0,46589.0::54989.0,55469.0::63906.0,64266.0::73049.0
7,0,5027,21540.0::32160.0,32520.0::42540.0,43020.0::52860.0,53340.0::62220.0,62580.0::71400.0,71940.0::80820.0
73,0,4259,21252.0::33675.0,34275.0::42855.0,43607.0::50807.0,51527.0::57287.0,58007.0::64635.0,65235.0::71924.0
73,1,4207,26271.0::35075.0,35795.0::43715.0,44435.0::52251.0,52971.0::59631.0,60231.0::66935.0,67535.0::77299.0
27,1,1152,24180.0::31200.0,57840.0::59040.0,59640.0::61440.0,62100.0::65160.0,65760.0::68220.0,73620.0::83340.0
27,0,1140,20673.0::31623.0,49413.0::49893.0,57543.0::59823.0,60423.0::62823.0,63423.0::65223.0,65823.0::67623.0
