route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
4,8472,22524.0::31644.0::337.77777777777777,32024.0::41983.0::452.6818181818182,42433.0::52783.0::450.0,53233.0::62866.0::401.375,63246.0::71856.0::374.3478260869565,75361.0::83761.0::600.0
5,5770F,18720.0::30720.0::428.57142857142856,31080.0::42060.0::422.3076923076923,42540.0::52860.0::430.0,53340.0::62160.0::383.4782608695652,62520.0::71640.0::414.54545454545456,72240.0::89100.0::683.0769230769231
5,5771,18900.0::30900.0::428.57142857142856,31260.0::42240.0::422.3076923076923,42720.0::53040.0::430.0,53520.0::62340.0::383.4782608695652,62700.0::71820.0::414.54545454545456,72420.0::89280.0::683.0769230769231
5,5772,18989.0::30989.0::428.57142857142856,31349.0::42329.0::422.3076923076923,42809.0::53129.0::430.0,53609.0::62429.0::383.4782608695652,62789.0::71909.0::414.54545454545456,72509.0::89369.0::683.0769230769231
5,5773,19064.0::31064.0::428.57142857142856,31424.0::42404.0::422.3076923076923,42884.0::53204.0::430.0,53684.0::62504.0::383.4782608695652,62864.0::71984.0::414.54545454545456,72584.0::89444.0::683.0769230769231
5,5806,19140.0::31140.0::428.57142857142856,31500.0::42480.0::422.3076923076923,42960.0::53280.0::430.0,53760.0::62580.0::383.4782608695652,62940.0::72060.0::414.54545454545456,72660.0::89520.0::683.0769230769231
5,5776,19320.0::30240.0::436.8,30600.0::40440.0::410.0,40860.0::50760.0::450.0,51240.0::60600.0::390.0,60960.0::70380.0::376.8,71040.0::81000.0::664.0
5,5701,18960.0::27300.0::521.25,27660.0::35940.0::376.3636363636364,36420.0::45420.0::450.0,45900.0::55740.0::447.27272727272725,56220.0::66300.0::360.0,66660.0::78120.0::674.1176470588235
5,5700G,19080.0::27420.0::521.25,27780.0::36060.0::376.3636363636364,36540.0::45540.0::450.0,46020.0::55860.0::447.27272727272725,56340.0::66420.0::360.0,66780.0::78240.0::674.1176470588235
5,5704F,19169.0::27509.0::521.25,27869.0::36149.0::376.3636363636364,36629.0::45629.0::450.0,46109.0::55949.0::447.27272727272725,56429.0::66509.0::360.0,66869.0::78329.0::674.1176470588235
5,5705,19231.0::27571.0::521.25,27931.0::36211.0::376.3636363636364,36691.0::45691.0::450.0,46171.0::56011.0::447.27272727272725,56491.0::66571.0::360.0,66931.0::78391.0::674.1176470588235
5,5706,19320.0::27660.0::521.25,28020.0::36300.0::376.3636363636364,36780.0::45780.0::450.0,46260.0::56100.0::447.27272727272725,56580.0::66660.0::360.0,67020.0::78480.0::674.1176470588235
