route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
5,0703,20734.0::39274.0::355.7142857142857,39994.0::52714.0::273.9622641509434,53194.0::65794.0::226.0,66214.0::79174.0::258.3333333333333,0::0::0,0::0::0
5,0704,20804.0::39344.0::355.7142857142857,40064.0::52784.0::273.9622641509434,53264.0::65384.0::225.44554455445544,65864.0::79244.0::256.8161434977578,0::0::0,0::0::0
5,0705,20898.0::39438.0::355.7142857142857,40158.0::52878.0::273.9622641509434,53358.0::65478.0::225.44554455445544,65958.0::79338.0::256.8161434977578,0::0::0,0::0::0
5,0706,21000.0::39540.0::355.7142857142857,40260.0::52980.0::273.9622641509434,53460.0::66060.0::226.0,66480.0::79440.0::258.3333333333333,0::0::0,0::0::0
5,6253,21080.0::39620.0::355.7142857142857,40340.0::53086.0::274.4090695120038,53566.0::65686.0::225.44554455445544,66166.0::79520.0::256.52373820578106,0::0::0,0::0::0
5,6424F,27480.0::41880.0::360.0,42600.0::56760.0::230.08474576271186,57240.0::70740.0::226.0,71220.0::87180.0::298.29545454545456,0::0::0,0::0::0
5,6209,27557.0::41957.0::360.0,42677.0::56837.0::230.08474576271186,57317.0::70817.0::226.0,71297.0::87257.0::298.29545454545456,0::0::0,0::0::0
5,0722,27660.0::42060.0::360.0,42780.0::56940.0::230.08474576271186,57420.0::70920.0::226.0,71400.0::87360.0::298.29545454545456,0::0::0,0::0::0
5,0723,27728.0::42128.0::360.0,42848.0::57008.0::230.08474576271186,57488.0::70988.0::226.0,71468.0::87428.0::298.29545454545456,0::0::0,0::0::0
5,0724,27812.0::41492.0::360.0,42212.0::56672.0::237.13692946058092,57092.0::70652.0::226.99115044247787,71072.0::87512.0::295.7608695652174,0::0::0,0::0::0
5,0725,27872.0::42272.0::360.0,42992.0::56732.0::230.6986899563319,57152.0::70712.0::226.99115044247787,71132.0::87572.0::295.7608695652174,0::0::0,0::0::0
5,0726,27960.0::40920.0::360.0,41640.0::55020.0::245.24663677130044,55440.0::69000.0::226.99115044247787,69420.0::87660.0::285.98130841121497,0::0::0,0::0::0
5,0626,28140.0::42540.0::360.0,43260.0::57420.0::230.08474576271186,57900.0::70980.0::226.5137614678899,71400.0::87780.0::293.9344262295082,0::0::0,0::0::0
5,0616,28218.0::42618.0::360.0,43338.0::57498.0::230.08474576271186,57978.0::71058.0::226.5137614678899,71478.0::87858.0::293.9344262295082,0::0::0,0::0::0
5,0606,28286.0::41246.0::360.0,41966.0::55346.0::245.24663677130044,55766.0::69326.0::226.99115044247787,69746.0::87926.0::284.36619718309856,0::0::0,0::0::0
5,0506,28356.0::41316.0::360.0,42036.0::55416.0::245.24663677130044,55836.0::69396.0::226.99115044247787,69816.0::87996.0::284.36619718309856,0::0::0,0::0::0
5,0516,28440.0::42840.0::360.0,43560.0::57720.0::230.08474576271186,58200.0::71280.0::226.5137614678899,71700.0::88080.0::293.9344262295082,0::0::0,0::0::0
5,0526,28560.0::42240.0::360.0,42960.0::57420.0::237.13692946058092,57840.0::71400.0::226.99115044247787,71820.0::88200.0::293.9344262295082,0::0::0,0::0::0
5,6422F,21180.0::39720.0::355.7142857142857,40440.0::52800.0::277.28155339805824,53220.0::65400.0::226.55172413793105,65820.0::79620.0::255.65217391304347,0::0::0,0::0::0
5,5714,19020.0::35580.0::333.68715083798884,36300.0::50100.0::280.17391304347825,50580.0::64020.0::225.0,64440.0::78420.0::258.15450643776825,0::0::0,0::0::0
5,6177,28740.0::43140.0::360.0,43860.0::58020.0::230.08474576271186,58500.0::71580.0::226.5137614678899,72000.0::88380.0::293.9344262295082,0::0::0,0::0::0
5,9986F,27360.0::43020.0::356.4367816091954,43500.0::59340.0::227.27272727272728,59820.0::78000.0::261.6831683168317,0::0::0,0::0::0,0::0::0
5,5219F,27377.0::43046.0::356.61372774267664,43526.0::59366.0::227.27272727272728,59846.0::78017.0::261.48811292719165,0::0::0,0::0::0,0::0::0
5,5221F,21276.0::39816.0::355.7142857142857,40536.0::53316.0::275.07042253521126,53796.0::65916.0::225.44554455445544,66396.0::79716.0::256.2162162162162,0::0::0,0::0::0
5,9959F,21300.0::39840.0::355.7142857142857,40560.0::53820.0::273.8009049773756,54240.0::66420.0::226.55172413793105,66840.0::79740.0::257.72093023255815,0::0::0,0::0::0
10,5921G,25620.0::40140.0::347.86046511627904,40860.0::54480.0::235.90308370044053,54960.0::67560.0::226.0,68040.0::82920.0::288.94736842105266,0::0::0,0::0::0
10,5916F,25661.0::39461.0::347.43011237798373,40181.0::52732.0::244.60843757469524,53212.0::65812.0::226.0,66292.0::82961.0::280.20172113124573,0::0::0,0::0::0
10,5917F,25730.0::40250.0::348.5668316831683,40970.0::54618.0::236.3094958968347,55098.0::67698.0::226.0,68178.0::83030.0::288.51143158635244,0::0::0,0::0::0
10,1985G,25860.0::39660.0::349.44444444444446,40380.0::52980.0::245.42857142857142,53460.0::66060.0::226.0,66540.0::83160.0::279.5890410958904,0::0::0,0::0::0
10,5058F,25980.0::39780.0::349.44444444444446,40500.0::53100.0::245.42857142857142,53580.0::66180.0::226.0,66660.0::83280.0::279.5890410958904,0::0::0,0::0::0
10,5059,26946.0::39878.0::359.25085060315496,40598.0::53198.0::249.71428571428572,53678.0::66278.0::226.0,66758.0::83378.0::279.5890410958904,0::0::0,0::0::0
10,5060,27000.0::39960.0::360.0,40680.0::54180.0::248.13333333333333,54660.0::67260.0::226.0,67740.0::83460.0::283.52941176470586,0::0::0,0::0::0
10,6424F,27120.0::40080.0::360.0,40800.0::54300.0::248.13333333333333,54780.0::67380.0::226.0,67860.0::83580.0::283.52941176470586,0::0::0,0::0::0
10,6209,27197.0::42317.0::360.0,42977.0::58877.0::228.33962264150944,59357.0::77837.0::254.58333333333334,0::0::0,0::0::0,0::0::0
10,0722,27300.0::44100.0::352.5,44580.0::60360.0::226.425855513308,60840.0::77940.0::256.64150943396226,0::0::0,0::0::0,0::0::0
10,0723,27368.0::42488.0::360.0,43148.0::59048.0::228.33962264150944,59528.0::78008.0::254.58333333333334,0::0::0,0::0::0,0::0::0
10,0724,27452.0::42572.0::360.0,43232.0::59132.0::228.33962264150944,59612.0::78092.0::254.58333333333334,0::0::0,0::0::0,0::0::0
10,0725,27512.0::43832.0::355.80882352941177,44312.0::60152.0::227.27272727272728,60572.0::78152.0::256.15384615384613,0::0::0,0::0::0,0::0::0
10,0726,27600.0::44400.0::352.5,44880.0::60660.0::226.425855513308,61140.0::78240.0::256.64150943396226,0::0::0,0::0::0,0::0::0
10,0626,27780.0::44100.0::355.80882352941177,44580.0::60420.0::227.27272727272728,60840.0::78360.0::254.77941176470588,0::0::0,0::0::0,0::0::0
10,0616,27858.0::44658.0::352.5,45138.0::60918.0::226.425855513308,61398.0::78438.0::255.22727272727272,0::0::0,0::0::0,0::0::0
10,0606,27926.0::43706.0::358.74524714828897,44246.0::60566.0::227.64705882352942,60986.0::78506.0::254.77941176470588,0::0::0,0::0::0,0::0::0
10,0506,27996.0::43116.0::360.0,43776.0::59676.0::228.33962264150944,60156.0::78576.0::253.27526132404182,0::0::0,0::0::0,0::0::0
10,0516,28080.0::43200.0::360.0,43860.0::59760.0::228.33962264150944,60240.0::78660.0::253.27526132404182,0::0::0,0::0::0,0::0::0
10,0526,28200.0::45000.0::352.5,45480.0::61260.0::226.425855513308,61740.0::78780.0::255.22727272727272,0::0::0,0::0::0,0::0::0
10,4501F,26460.0::42720.0::352.3076923076923,43200.0::60360.0::226.82656826568265,60780.0::81360.0::263.4,0::0::0,0::0::0,0::0::0
10,0531,24000.0::37500.0::354.33962264150944,38220.0::50940.0::281.3207547169811,51360.0::63900.0::224.92822966507177,64380.0::78180.0::268.4347826086956,0::0::0,0::0::0
10,0511,24120.0::37620.0::354.33962264150944,38340.0::51060.0::281.3207547169811,51480.0::64020.0::224.92822966507177,64500.0::78300.0::268.4347826086956,0::0::0,0::0::0
10,0501,24204.0::38440.0::354.33962264150944,39160.0::52480.0::271.0810810810811,52900.0::65020.0::225.44554455445544,65500.0::78384.0::270.84818379385285,0::0::0,0::0::0
10,0601,24275.0::37085.0::353.6170212765957,37805.0::50765.0::287.22222222222223,51245.0::63785.0::224.92822966507177,64205.0::78455.0::266.5578947368421,0::0::0,0::0::0
10,0611,24343.0::37887.0::354.0,38607.0::52167.0::276.9026548672566,52647.0::65187.0::224.92822966507177,65667.0::78523.0::269.93528313627877,0::0::0,0::0::0
10,0621,24420.0::37260.0::353.6170212765957,37980.0::50940.0::287.22222222222223,51420.0::63960.0::224.92822966507177,64380.0::78600.0::265.69620253164555,0::0::0,0::0::0
10,0702,24540.0::37380.0::353.6170212765957,38100.0::51060.0::287.22222222222223,51540.0::64140.0::226.0,64560.0::78720.0::263.89830508474574,0::0::0,0::0::0
10,0703,24634.0::39634.0::354.64285714285717,40354.0::53374.0::264.19354838709677,53854.0::65554.0::226.0,66034.0::78814.0::267.46478873239437,0::0::0,0::0::0
